epoch,L_loss,h_loss,loss,s_loss,t_loss
0,2.5729709,1.704586,2.572971434593201,-2.5729709,1.9900833
1,2.3334,-0.608236,2.333400686979294,-2.3334,1.9701874
2,2.0798604,-0.22044535,2.0798609405755997,-2.0798604,1.9504858
3,1.8106713,-0.4760283,1.8106709229946136,-1.8106713,1.9309812
4,1.5247567,-1.5128464,1.5247565150260924,-1.5247567,1.9116713
5,1.2205225,-1.6594069,1.2205224615335464,-1.2205225,1.8925549
6,0.8956492,-1.0450628,0.8956489440798759,-0.8956492,1.8736295
7,0.5479185,-0.01910828,0.5479182757437229,-0.5479185,1.8548932
8,0.17207396,-2.1646705,0.17207386470399796,-0.17207396,1.8363426
9,-0.23597793,-2.0631788,-0.23597798024304212,0.23597793,1.8179811
10,-0.68023944,-1.7377486,-0.6802393865585327,0.68023944,1.7998016
11,-1.164761,-2.0848284,-1.164761527776718,1.164761,1.7818037
12,-1.6914809,-0.68610764,-1.6914806973934173,1.6914809,1.7639859
13,-2.247702,-1.0832943,-2.2477016097307203,2.247702,1.7463461
14,-2.8285592,-0.28725857,-2.8285583090782165,2.8285592,1.7288826
15,-3.4107773,-0.13496353,-3.410777143239975,3.4107773,1.7115946
16,-3.9854314,-1.5115491,-3.9854308378696444,3.9854314,1.6944785
17,-4.551052,-3.192851,-4.5510525178909305,4.551052,1.6775333
18,-5.082207,-3.3337448,-5.082208852767945,5.082207,1.6607584
19,-5.5990095,-3.3337448,-5.599009208679199,5.5990095,1.6441509
20,-6.09274,-3.6354394,-6.092738990783691,6.09274,1.6277102
21,-6.566932,-2.659726,-6.566930692195893,6.566932,1.6114328
22,-7.0235,-0.43258408,-7.023500638008118,7.0235,1.5953186
23,-7.4708405,0.9068405,-7.470840966701507,7.4708405,1.5793655
24,-7.9094834,0.86025435,-7.909482455253601,7.9094834,1.563572
25,-8.340096,0.86025435,-8.34009521007538,8.340096,1.5479364
26,-8.748859,1.2833928,-8.748861737251282,8.748859,1.5324564
27,-9.149846,2.7408788,-9.149842786788941,9.149846,1.5171329
28,-9.546835,2.9705353,-9.54683512687683,9.546835,1.5019614
29,-9.93906,2.7269537,-9.939059634208679,9.93906,1.4869419
30,-10.337994,1.7769443,-10.337992696762084,10.337994,1.472073
31,-10.71255,3.4104836,-10.712549543380737,10.71255,1.4573523
32,-11.098429,6.4556303,-11.098432264328004,11.098429,1.4427785
33,-11.436686,4.4859586,-11.436684966087341,11.436686,1.4283513
34,-11.795121,4.4859586,-11.79512390613556,11.795121,1.4140677
35,-12.125294,4.4859586,-12.125291047096253,12.125294,1.3999273
36,-12.456956,5.455031,-12.456952748298646,12.456956,1.3859279
37,-12.724063,6.490164,-12.724063720703125,12.724063,1.3720691
38,-12.993732,7.4288526,-12.993730506896974,12.993732,1.3583483
39,-13.235822,9.322788,-13.235819082260132,13.235822,1.3447647
40,-13.497983,8.766752,-13.497981629371644,13.497983,1.3313173
41,-13.695917,8.766752,-13.695918169021606,13.695917,1.3180041
42,-13.89726,8.8369055,-13.897262573242188,13.89726,1.3048244
43,-14.028248,9.191922,-14.028251614570618,14.028248,1.2917764
44,-14.233399,9.191922,-14.233398566246033,14.233399,1.2788587
45,-14.346955,9.191922,-14.34695800304413,14.346955,1.2660699
46,-14.486436,9.191922,-14.486432733535766,14.486436,1.2534095
47,-14.606073,9.191922,-14.606068201065064,14.606073,1.2408755
48,-14.745523,9.191922,-14.745527610778808,14.745523,1.2284671
49,-14.843939,9.191922,-14.8439413022995,14.843939,1.2161822
50,-14.891851,9.191922,-14.891849861145019,14.891851,1.2040205
51,-14.9684925,9.191922,-14.968492197990418,14.9684925,1.1919805
52,-15.038477,9.191922,-15.038478178977966,15.038477,1.1800606
53,-15.059435,9.191922,-15.059434652328491,15.059435,1.1682605
54,-15.086291,9.191922,-15.086291222572326,15.086291,1.1565777
55,-15.161678,9.191922,-15.161678242683411,15.161678,1.145012
56,-15.17301,9.3476715,-15.173014345169067,15.17301,1.1335621
57,-15.195813,9.054847,-15.195814480781555,15.195813,1.1222267
58,-15.194355,8.309133,-15.194356832504273,15.194355,1.1110044
59,-15.253007,12.523638,-15.25300594329834,15.253007,1.0998945
60,-15.219253,14.410238,-15.219258332252503,15.219253,1.0888954
61,-15.256583,14.410238,-15.256583876609803,15.256583,1.0780066
62,-15.249987,14.410238,-15.249987502098083,15.249987,1.0672265
63,-15.293156,14.410238,-15.293161215782165,15.293156,1.0565544
64,-15.302019,14.410238,-15.302021298408508,15.302019,1.0459889
65,-15.239582,14.410238,-15.239584546089173,15.239582,1.0355293
66,-15.274598,14.410238,-15.274594860076904,15.274598,1.025174
67,-15.303188,14.410238,-15.30319435119629,15.303188,1.0149223
68,-15.28388,14.410238,-15.283878688812257,15.28388,1.0047733
69,-15.337959,14.410238,-15.337958898544311,15.337959,0.99472564
70,-15.377827,14.410238,-15.377825565338135,15.377827,0.98477846
71,-15.390284,14.410238,-15.39027952671051,15.390284,0.9749308
72,-15.360762,14.103789,-15.360757765769959,15.360762,0.9651815
73,-15.407238,13.931402,-15.407239961624146,15.407238,0.9555298
74,-15.43957,14.241848,-15.439569272994994,15.43957,0.9459746
75,-15.522439,14.368631,-15.522440218925476,15.522439,0.936515
76,-15.511867,14.368631,-15.511869797706604,15.511867,0.92714965
77,-15.583112,14.368631,-15.583110013008117,15.583112,0.91787827
78,-15.635777,14.368631,-15.63577766418457,15.635777,0.90869963
79,-15.677089,14.368631,-15.677090525627136,15.677089,0.8996129
80,-15.7197695,14.596101,-15.719764771461486,15.7197695,0.8906168
81,-15.770441,14.778501,-15.770442752838134,15.770441,0.8817106
82,-15.831983,14.778501,-15.831980381011963,15.831983,0.8728936
83,-15.851592,14.778501,-15.851588163375855,15.851592,0.86416495
84,-15.885547,14.778501,-15.885539627075195,15.885547,0.85552317
85,-15.893005,14.778501,-15.893006081581115,15.893005,0.846968
86,-15.912025,14.778501,-15.912023749351501,15.912025,0.83849853
87,-15.886469,14.778501,-15.886467213630675,15.886469,0.8301133
88,-15.910539,15.225717,-15.910542612075806,15.910539,0.82181245
89,-15.942169,15.606689,-15.942168426513671,15.942169,0.8135943
90,-15.9660635,15.606689,-15.966067032814026,15.9660635,0.8054583
91,-15.98012,15.606689,-15.98012062072754,15.98012,0.7974041
92,-16.007523,15.606689,-16.007521352767945,16.007523,0.7894299
93,-15.981855,15.606689,-15.981851630210876,15.981855,0.7815356
94,-16.003887,15.606689,-16.003885893821717,16.003887,0.7737205
95,-16.005482,15.606689,-16.005482444763185,16.005482,0.7659827
96,-16.036928,15.606689,-16.036927127838133,16.036928,0.7583235
97,-15.990218,15.606689,-15.990220513343811,15.990218,0.75074035
98,-16.046928,15.606689,-16.04693145275116,16.046928,0.7432332
99,-16.018694,15.606689,-16.018693199157713,16.018694,0.7358008
