epoch,L_loss,h_loss,loss,s_loss,t_loss
0,1.8003789,-1.0471739,1.8003789895772935,-1.8003789,1.9900833
1,1.5013527,-2.2101073,1.50135235786438,-1.5013527,1.9701874
2,1.1938603,-5.159003,1.193860433101654,-1.1938603,1.9504858
3,0.8780476,-5.2846665,0.8780476438999176,-0.8780476,1.9309812
4,0.5555504,-5.2846665,0.5555501672625541,-0.5555504,1.9116713
5,0.22614501,-4.3747344,0.22614497734233738,-0.22614501,1.8925549
6,-0.10970341,-3.9563036,-0.10970338403829373,0.10970341,1.8736295
7,-0.4530567,-3.9563036,-0.45305677101016045,0.4530567,1.8548932
8,-0.8038449,-3.9563036,-0.8038448345661163,0.8038449,1.8363426
9,-1.163547,-3.9563036,-1.1635470151901246,1.163547,1.8179811
10,-1.5329248,-3.9563036,-1.5329242265224456,1.5329248,1.7998016
11,-1.9130112,-3.959661,-1.9130106806755065,1.9130112,1.7818037
12,-2.3039055,-0.8991401,-2.3039055597782134,2.3039055,1.7639859
13,-2.7062817,-4.169259,-2.706281386613846,2.7062817,1.7463461
14,-3.1230628,-4.51884,-3.123062154054642,3.1230628,1.7288826
15,-3.549701,-1.311007,-3.549700628519058,3.549701,1.7115946
16,-3.996715,-1.7623281,-3.9967151784896853,3.996715,1.6944785
17,-4.4639425,-2.458687,-4.463942146301269,4.4639425,1.6775333
18,-4.9534025,-2.197801,-4.953402919769287,4.9534025,1.6607584
19,-5.457145,-1.1860535,-5.4571427989006045,5.457145,1.6441509
20,-5.9621515,-3.1000347,-5.962150630950927,5.9621515,1.6277102
21,-6.4529023,-4.3220186,-6.452903265953064,6.4529023,1.6114328
22,-6.9365296,-2.5134182,-6.936528110504151,6.9365296,1.5953186
23,-7.405054,0.38286313,-7.405054659843445,7.405054,1.5793655
24,-7.8375573,5.1607184,-7.837555408477783,7.8375573,1.563572
25,-8.251215,4.7873406,-8.251215200424195,8.251215,1.5479364
26,-8.64654,4.511366,-8.646539540290833,8.64654,1.5324564
27,-9.047488,4.511366,-9.047487964630127,9.047488,1.5171329
28,-9.414929,3.1767924,-9.414928064346313,9.414929,1.5019614
29,-9.761575,4.5168896,-9.761575164794921,9.761575,1.4869419
30,-10.100422,4.5168896,-10.100421662330627,10.100422,1.472073
31,-10.4281435,6.080805,-10.42814374446869,10.4281435,1.4573523
32,-10.743052,7.1676054,-10.74305350780487,10.743052,1.4427785
33,-11.006367,7.1676054,-11.006365833282471,11.006367,1.4283513
34,-11.30691,7.1676054,-11.306912889480591,11.30691,1.4140677
35,-11.573108,11.783273,-11.5731054353714,11.573108,1.3999273
36,-11.847158,11.926025,-11.847152619361877,11.847158,1.3859279
37,-12.081731,11.926025,-12.081728844642639,12.081731,1.3720691
38,-12.337023,11.926025,-12.337021813392639,12.337023,1.3583483
39,-12.53861,11.926025,-12.538612728118897,12.53861,1.3447647
40,-12.788547,11.747812,-12.78855164527893,12.788547,1.3313173
41,-13.010942,10.652986,-13.010940160751343,13.010942,1.3180041
42,-13.19144,11.463239,-13.191443057060242,13.19144,1.3048244
43,-13.436907,11.909174,-13.436908526420593,13.436907,1.2917764
44,-13.657994,11.909174,-13.657996315956115,13.657994,1.2788587
45,-13.842207,11.909174,-13.842203655242919,13.842207,1.2660699
46,-14.067134,12.082523,-14.067135162353516,14.067134,1.2534095
47,-14.323104,13.459276,-14.323105087280274,14.323104,1.2408755
48,-14.527855,13.894793,-14.527852845191955,14.527855,1.2284671
49,-14.791154,13.894793,-14.791148886680602,14.791154,1.2161822
50,-15.013385,13.894793,-15.013384075164796,15.013385,1.2040205
51,-15.224257,13.673087,-15.224260458946228,15.224257,1.1919805
52,-15.462336,13.20599,-15.462343354225158,15.462336,1.1800606
