epoch,L_loss,h_loss,loss,s_loss,t_loss
0,3.8382757,-0.50265944,3.8382757472991944,-3.8382757,1.9900833
1,3.5509493,-2.8527808,3.550951189994812,-3.5509493,1.9701874
2,3.2427905,-6.8009114,3.2427902352809905,-3.2427905,1.9504858
3,2.9103284,-5.598598,2.91032789349556,-2.9103284,1.9309812
4,2.5502317,-7.054576,2.550231968164444,-2.5502317,1.9116713
5,2.156605,-7.054576,2.1566052299737932,-2.156605,1.8925549
6,1.726956,-5.186812,1.7269561004638672,-1.726956,1.8736295
7,1.2581217,-1.8663032,1.2581213968992233,-1.2581217,1.8548932
8,0.7467727,-1.8663032,0.7467727355659008,-0.7467727,1.8363426
9,0.18925191,-2.0308845,0.18925199253950267,-0.18925191,1.8179811
10,-0.41595513,-5.5520606,-0.41595513492822644,0.41595513,1.7998016
11,-1.0679091,-4.4777966,-1.067909071445465,1.0679091,1.7818037
12,-1.7606897,-6.983872,-1.760689595937729,1.7606897,1.7639859
13,-2.4890003,-7.4585314,-2.489000475406647,2.4890003,1.7463461
14,-3.2404995,-3.7422192,-3.2404985415935514,3.2404995,1.7288826
15,-4.004918,0.18961571,-4.004919457435608,4.004918,1.7115946
16,-4.760007,-2.2337976,-4.760006010532379,4.760007,1.6944785
17,-5.4935284,-3.7420642,-5.493529479503632,5.4935284,1.6775333
18,-6.1917143,-1.8010892,-6.19171452999115,6.1917143,1.6607584
19,-6.8471227,-2.7932441,-6.8471218419075015,6.8471227,1.6441509
20,-7.4716253,-5.475719,-7.471626896858215,7.4716253,1.6277102
21,-8.049967,-4.8620853,-8.04996878862381,8.049967,1.6114328
22,-8.601102,-4.62828,-8.60110318660736,8.601102,1.5953186
23,-9.101871,-4.62828,-9.101866779327393,9.101871,1.5793655
24,-9.594952,-4.4610066,-9.594950289726258,9.594952,1.563572
25,-10.067478,-4.2970624,-10.067477989196778,10.067478,1.5479364
26,-10.529314,-4.2970624,-10.5293133020401,10.529314,1.5324564
27,-10.979624,-3.9185834,-10.979622526168823,10.979624,1.5171329
28,-11.418158,4.498682,-11.418160991668701,11.418158,1.5019614
29,-11.8473625,5.81076,-11.847354965209961,11.8473625,1.4869419
30,-12.262476,5.768025,-12.262471680641175,12.262476,1.472073
31,-12.68249,5.768025,-12.682490730285645,12.68249,1.4573523
32,-13.123227,6.0476933,-13.123227109909058,13.123227,1.4427785
33,-13.521346,7.9275365,-13.521345686912536,13.521346,1.4283513
34,-13.928383,10.03112,-13.928379707336425,13.928383,1.4140677
35,-14.332732,13.415532,-14.332734007835388,14.332732,1.3999273
36,-14.74808,10.609699,-14.748082613945007,14.74808,1.3859279
37,-15.10285,9.635895,-15.10284866809845,15.10285,1.3720691
38,-15.482861,12.082375,-15.48285336971283,15.482861,1.3583483
39,-15.827045,18.373308,-15.827045917510986,15.827045,1.3447647
40,-16.172016,18.373308,-16.172020540237426,16.172016,1.3313173
41,-16.492252,18.312937,-16.492256169319152,16.492252,1.3180041
42,-16.83646,18.286188,-16.83645460128784,16.83646,1.3048244
43,-17.16007,18.286188,-17.160066604614258,17.16007,1.2917764
44,-17.434069,18.286188,-17.4340701007843,17.434069,1.2788587
45,-17.709929,18.286188,-17.709934463500975,17.709929,1.2660699
46,-17.986546,18.286188,-17.986541433334352,17.986546,1.2534095
47,-18.210432,18.286188,-18.210437612533568,18.210432,1.2408755
48,-18.505405,18.286188,-18.505406150817873,18.505405,1.2284671
49,-18.789558,18.286188,-18.789557886123657,18.789558,1.2161822
50,-19.007776,18.286188,-19.00777543067932,19.007776,1.2040205
51,-19.253923,18.286188,-19.253925914764405,19.253923,1.1919805
52,-19.433775,18.406734,-19.433775205612182,19.433775,1.1800606
53,-19.667315,18.482191,-19.667310247421266,19.667315,1.1682605
54,-19.818884,18.482191,-19.818884706497194,19.818884,1.1565777
55,-19.988094,18.482191,-19.988090915679933,19.988094,1.145012
56,-20.129473,18.482191,-20.1294734954834,20.129473,1.1335621
57,-20.296236,18.482191,-20.296235885620117,20.296236,1.1222267
58,-20.383661,18.482191,-20.38365511894226,20.383661,1.1110044
59,-20.491705,18.482191,-20.49170181274414,20.491705,1.0998945
60,-20.628891,18.482191,-20.628895835876463,20.628891,1.0888954
61,-20.705837,18.482191,-20.705838832855225,20.705837,1.0780066
62,-20.783669,18.482191,-20.783669385910034,20.783669,1.0672265
63,-20.854965,18.482191,-20.854963502883912,20.854965,1.0565544
64,-20.920586,18.482191,-20.92058614730835,20.920586,1.0459889
65,-20.974665,18.482191,-20.97466528892517,20.974665,1.0355293
66,-21.021458,18.482191,-21.021457052230836,21.021458,1.025174
67,-21.065413,18.482191,-21.06541774749756,21.065413,1.0149223
68,-21.09442,18.482191,-21.094414205551146,21.09442,1.0047733
69,-21.153654,18.482191,-21.1536590385437,21.153654,0.99472564
70,-21.196898,19.978418,-21.196899347305298,21.196898,0.98477846
71,-21.223255,20.438047,-21.223260517120362,21.223255,0.9749308
72,-21.258198,20.438047,-21.258193254470825,21.258198,0.9651815
73,-21.258186,20.438047,-21.258181257247927,21.258186,0.9555298
74,-21.31579,20.438047,-21.31579171180725,21.31579,0.9459746
75,-21.34275,21.008423,-21.342749586105345,21.34275,0.936515
76,-21.349531,21.230215,-21.349525966644286,21.349531,0.92714965
77,-21.376074,21.230215,-21.37606816291809,21.376074,0.91787827
78,-21.413687,21.230215,-21.413687200546264,21.413687,0.90869963
