epoch,L_loss,h_loss,loss,s_loss,t_loss
0,1.6598096,1.2934785,1.6598095911741257,-1.6598096,1.9900833
1,1.3394567,0.50473726,1.3394565713405608,-1.3394567,1.9701874
2,0.9963332,-2.9559915,0.9963331255316734,-0.9963332,1.9504858
3,0.62345713,-2.9587457,0.6234569998085498,-0.62345713,1.9309812
4,0.22261335,-3.2326891,0.2226133258966729,-0.22261335,1.9116713
5,-0.1997822,-3.7437286,-0.19978220694873017,0.1997822,1.8925549
6,-0.6336841,-2.0957754,-0.6336839647591114,0.6336841,1.8736295
7,-1.0734489,-2.4304206,-1.0734491974115372,1.0734489,1.8548932
8,-1.5177972,-5.335273,-1.5177975070476533,1.5177972,1.8363426
9,-1.9687914,-6.050167,-1.9687916678190232,1.9687914,1.8179811
10,-2.4278681,-4.9622774,-2.4278684079647066,2.4278681,1.7998016
11,-2.8988128,-5.243737,-2.8988126814365387,2.8988128,1.7818037
12,-3.3824966,-5.7901177,-3.3824967539310453,3.3824966,1.7639859
13,-3.8740292,-5.1910424,-3.8740298557281494,3.8740292,1.7463461
14,-4.376624,-4.6703324,-4.376624286174774,4.376624,1.7288826
