epoch,L_loss,h_loss,loss,s_loss,t_loss
0,-0.7763641,2.5787296,-0.7763638406991958,0.7763641,1.9900833
1,-0.99861276,3.6504524,-0.9986129149794578,0.99861276,1.9701874
2,-1.2329079,-0.08636739,-1.232907754778862,1.2329079,1.9504858
3,-1.4804392,-0.09374987,-1.4804391193389892,1.4804392,1.9309812
4,-1.7446167,-0.056831025,-1.744616712331772,1.7446167,1.9116713
5,-2.028586,0.5990368,-2.028585711121559,2.028586,1.8925549
6,-2.3377252,0.7949466,-2.337725293636322,2.3377252,1.8736295
7,-2.6754708,0.7949466,-2.675469434261322,2.6754708,1.8548932
8,-3.0360062,1.0231231,-3.0360060703754423,3.0360062,1.8363426
9,-3.407484,2.2702339,-3.407484369277954,3.407484,1.8179811
10,-3.7690911,3.0379364,-3.7690902757644653,3.7690911,1.7998016
11,-4.117929,2.7536607,-4.117928811311722,4.117929,1.7818037
12,-4.449662,2.391195,-4.449661457538605,4.449662,1.7639859
13,-4.7711763,1.7886436,-4.771176264286042,4.7711763,1.7463461
14,-5.08584,1.7886436,-5.085841286182403,5.08584,1.7288826
15,-5.3941784,1.2735457,-5.3941769742965695,5.3941784,1.7115946
16,-5.7028217,1.2098815,-5.702819771766663,5.7028217,1.6944785
17,-6.0120215,1.789762,-6.012020764350891,6.0120215,1.6775333
18,-6.3222313,2.203224,-6.322231619358063,6.3222313,1.6607584
19,-6.6301775,3.5452988,-6.630179319381714,6.6301775,1.6441509
20,-6.9400177,3.755326,-6.940018694400788,6.9400177,1.6277102
21,-7.242043,3.4381025,-7.242041399478913,7.242043,1.6114328
22,-7.5331683,3.4581857,-7.533166799545288,7.5331683,1.5953186
23,-7.814854,3.1827886,-7.814855282306671,7.814854,1.5793655
24,-8.085979,3.7120714,-8.085979022979735,8.085979,1.563572
25,-8.349331,4.9559755,-8.349332089424133,8.349331,1.5479364
26,-8.611266,5.6181507,-8.611267275810242,8.611266,1.5324564
27,-8.869808,5.6181507,-8.8698077917099,8.869808,1.5171329
28,-9.125637,5.6181507,-9.12563591003418,9.125637,1.5019614
29,-9.377438,5.6181507,-9.37743673324585,9.377438,1.4869419
30,-9.629793,6.844036,-9.629797573089599,9.629793,1.472073
31,-9.876359,6.8844366,-9.87635796546936,9.876359,1.4573523
32,-10.126339,6.8922997,-10.126336050033569,10.126339,1.4427785
33,-10.358613,6.8922997,-10.35861096382141,10.358613,1.4283513
34,-10.59031,6.8922997,-10.590311303138733,10.59031,1.4140677
35,-10.813633,6.8922997,-10.813631134033203,10.813633,1.3999273
36,-11.019386,6.8922997,-11.019384789466859,11.019386,1.3859279
37,-11.233794,6.8922997,-11.233794875144959,11.233794,1.3720691
38,-11.428202,5.3917046,-11.42819986820221,11.428202,1.3583483
39,-11.6125965,4.6509757,-11.612593464851379,11.6125965,1.3447647
40,-11.805454,6.1324267,-11.805454649925231,11.805454,1.3313173
41,-11.965747,6.295972,-11.965746121406555,11.965747,1.3180041
42,-12.150133,6.295972,-12.150134258270263,12.150133,1.3048244
43,-12.288058,7.1114135,-12.288055601119995,12.288058,1.2917764
44,-12.466659,11.732322,-12.466656708717347,12.466659,1.2788587
45,-12.62909,11.732322,-12.629091963768005,12.62909,1.2660699
46,-12.758653,11.732322,-12.75865331172943,12.758653,1.2534095
47,-12.910676,11.732322,-12.910673837661744,12.910676,1.2408755
48,-13.030911,11.732322,-13.0309125995636,13.030911,1.2284671
49,-13.151226,11.732322,-13.151226778030395,13.151226,1.2161822
50,-13.244538,11.732322,-13.244539127349853,13.244538,1.2040205
51,-13.34158,11.732322,-13.341581830978393,13.34158,1.1919805
52,-13.43797,11.732322,-13.437968664169311,13.43797,1.1800606
53,-13.527781,11.774192,-13.527783751487732,13.527781,1.1682605
54,-13.612482,12.109785,-13.612477288246154,13.612482,1.1565777
55,-13.683559,12.199856,-13.68356628894806,13.683559,1.145012
56,-13.770941,12.199856,-13.770939602851868,13.770941,1.1335621
57,-13.836927,12.466275,-13.836924471855163,13.836927,1.1222267
