epoch,L_loss,h_loss,loss,s_loss,t_loss
0,2.7303174,0.7618593,2.7303190386295317,-2.7303174,1.9900833
1,2.403515,-1.064256,2.403515257835388,-2.403515,1.9701874
2,2.0584507,-2.3461056,2.0584502959251405,-2.0584507,1.9504858
3,1.69293,-2.0159905,1.6929297482967376,-1.69293,1.9309812
4,1.3051616,-1.3942207,1.3051618802547456,-1.3051616,1.9116713
5,0.8931967,-2.4983032,0.8931967037916183,-0.8931967,1.8925549
6,0.455124,-3.6127374,0.4551238674670458,-0.455124,1.8736295
7,-0.009291392,-3.6127374,-0.009291392437880859,0.009291392,1.8548932
8,-0.5047073,-3.5787091,-0.5047070544958114,0.5047073,1.8363426
9,-1.0232646,-2.478426,-1.023264735341072,1.0232646,1.8179811
10,-1.568842,-2.478426,-1.5688418740034102,1.568842,1.7998016
11,-2.12939,-2.3139193,-2.1293907523155213,2.12939,1.7818037
12,-2.7096598,-1.9034697,-2.7096599435806272,2.7096598,1.7639859
13,-3.2975833,-0.3247613,-3.2975838136672975,3.2975833,1.7463461
14,-3.8976145,-0.516109,-3.8976146006584167,3.8976145,1.7288826
15,-4.5064654,-4.18728,-4.506466836929321,4.5064654,1.7115946
16,-5.135649,-9.6820755,-5.13564867734909,5.135649,1.6944785
17,-5.7771883,-9.494343,-5.7771879529953,5.7771883,1.6775333
18,-6.436064,-9.427291,-6.436066901683807,6.436064,1.6607584
19,-7.118548,-9.711918,-7.118545413017273,7.118548,1.6441509
20,-7.8027883,-9.807259,-7.802787511348725,7.8027883,1.6277102
21,-8.487325,0.21555555,-8.487326307296753,8.487325,1.6114328
22,-9.133495,4.409499,-9.133495807647705,9.133495,1.5953186
23,-9.772777,5.4084816,-9.772774739265442,9.772777,1.5793655
24,-10.365763,5.3057313,-10.365765051841736,10.365763,1.563572
25,-10.945039,5.228592,-10.945040645599365,10.945039,1.5479364
26,-11.499899,5.228592,-11.499894728660584,11.499899,1.5324564
27,-12.015585,4.5748158,-12.01558491230011,12.015585,1.5171329
28,-12.519975,5.391988,-12.519970831871033,12.519975,1.5019614
29,-13.004663,5.1234894,-13.004660501480103,13.004663,1.4869419
30,-13.487929,5.1234894,-13.48792513847351,13.487929,1.472073
31,-13.920277,6.2149553,-13.920277485847473,13.920277,1.4573523
32,-14.350164,6.301508,-14.350159420967103,14.350164,1.4427785
33,-14.755502,4.488974,-14.755500884056092,14.755502,1.4283513
34,-15.129565,9.203699,-15.129566349983214,15.129565,1.4140677
35,-15.49063,8.395712,-15.490628275871277,15.49063,1.3999273
36,-15.860676,10.825905,-15.860675792694092,15.860676,1.3859279
37,-16.152658,12.542217,-16.152654914855958,16.152658,1.3720691
38,-16.502121,12.542217,-16.5021151638031,16.502121,1.3583483
39,-16.798368,12.542217,-16.79837212562561,16.798368,1.3447647
40,-17.052345,12.683857,-17.052344026565553,17.052345,1.3313173
41,-17.313034,14.565668,-17.313033361434936,17.313034,1.3180041
42,-17.54958,14.565668,-17.549583911895752,17.54958,1.3048244
43,-17.785854,14.565668,-17.785856246948242,17.785854,1.2917764
44,-17.970272,14.611859,-17.970273036956787,17.970272,1.2788587
45,-18.16658,15.143087,-18.16658211708069,18.16658,1.2660699
46,-18.364353,15.143087,-18.364357280731202,18.364353,1.2534095
47,-18.497974,15.143087,-18.497978143692016,18.497974,1.2408755
