epoch,L_loss,h_loss,loss,s_loss,t_loss
0,3.6580157,-3.7150025,3.658017030954361,-3.6580157,1.9900833
1,3.5024645,-5.3727336,3.502463345527649,-3.5024645,1.9701874
2,3.3410397,-5.4882154,3.3410401356220247,-3.3410397,1.9504858
3,3.1734033,-7.5734277,3.173403981924057,-3.1734033,1.9309812
4,2.9978836,-6.706667,2.9978843820095062,-2.9978836,1.9116713
5,2.814294,-3.6699274,2.8142948818206786,-2.814294,1.8925549
6,2.620443,-2.6264646,2.6204432439804077,-2.620443,1.8736295
7,2.4142168,-3.8555756,2.4142170774936678,-2.4142168,1.8548932
8,2.1930351,-5.989002,2.193035314083099,-2.1930351,1.8363426
9,1.9551497,-6.4734,1.9551498872041702,-1.9551497,1.8179811
10,1.6985517,-6.4734,1.698551479578018,-1.6985517,1.7998016
11,1.4215186,-7.9190536,1.421518235206604,-1.4215186,1.7818037
12,1.1249853,-8.341143,1.1249849674105645,-1.1249853,1.7639859
13,0.81195074,-7.8345203,0.8119507354497909,-0.81195074,1.7463461
14,0.48670185,-7.5227056,0.48670184522867205,-0.48670185,1.7288826
15,0.15286648,-7.6989,0.15286651350092142,-0.15286648,1.7115946
16,-0.18838228,-7.774406,-0.18838232867885382,0.18838228,1.6944785
17,-0.52748877,-8.714115,-0.5274888309836387,0.52748877,1.6775333
18,-0.8633793,-15.945805,-0.8633789613842964,0.8633793,1.6607584
19,-1.1874702,-15.945805,-1.1874702081084252,1.1874702,1.6441509
20,-1.500196,-13.654157,-1.500196475982666,1.500196,1.6277102
21,-1.8096266,-7.9539704,-1.8096266341209413,1.8096266,1.6114328
22,-2.0984042,-3.3962357,-2.0984039384126665,2.0984042,1.5953186
23,-2.3789358,-4.7732058,-2.3789359128475187,2.3789358,1.5793655
24,-2.651187,-3.7362108,-2.65118701338768,2.651187,1.563572
25,-2.8978727,-2.8868124,-2.8978727090358736,2.8978727,1.5479364
26,-3.1341033,-2.7491884,-3.134104334115982,3.1341033,1.5324564
27,-3.3629587,-1.9858018,-3.362959158420563,3.3629587,1.5171329
28,-3.5707989,-1.4618704,-3.5707982897758486,3.5707989,1.5019614
29,-3.7898884,-0.87109315,-3.789887707233429,3.7898884,1.4869419
30,-3.9847448,-0.5448787,-3.9847455370426177,3.9847448,1.472073
31,-4.174604,-0.35728386,-4.174603909254074,4.174604,1.4573523
32,-4.330819,-0.35728386,-4.330819617509842,4.330819,1.4427785
33,-4.475113,-0.35728386,-4.475113215446473,4.475113,1.4283513
34,-4.619468,-0.35728386,-4.6194681811332705,4.619468,1.4140677
35,-4.7808323,-0.35728386,-4.780831544399262,4.7808323,1.3999273
36,-4.9109406,-0.89327395,-4.910940840244293,4.9109406,1.3859279
37,-5.0316224,-0.60045075,-5.03162187576294,5.0316224,1.3720691
38,-5.156592,0.19814445,-5.156591329574585,5.156592,1.3583483
39,-5.257004,0.14085184,-5.257003438472748,5.257004,1.3447647
40,-5.382873,0.14085184,-5.382873516082764,5.382873,1.3313173
41,-5.460341,0.14085184,-5.4603412199020385,5.460341,1.3180041
42,-5.5402584,-0.014925125,-5.540256359577179,5.5402584,1.3048244
43,-5.620104,-0.078552224,-5.620102055072785,5.620104,1.2917764
44,-5.6854463,-0.078552224,-5.6854468131065365,5.6854463,1.2788587
45,-5.7739563,-0.078552224,-5.773955130577088,5.7739563,1.2660699
46,-5.814873,-0.078552224,-5.8148733472824095,5.814873,1.2534095
47,-5.838689,-0.078552224,-5.838690061569213,5.838689,1.2408755
48,-5.903796,-0.078552224,-5.903796057701111,5.903796,1.2284671
49,-5.908746,-0.078552224,-5.908748397827148,5.908746,1.2161822
50,-5.9190536,0.05599832,-5.919053211212158,5.9190536,1.2040205
51,-5.9619837,0.14949977,-5.961983852386474,5.9619837,1.1919805
52,-5.9797726,0.14949977,-5.9797721862792965,5.9797726,1.1800606
53,-5.996317,0.14949977,-5.996317226886749,5.996317,1.1682605
54,-5.992778,0.14949977,-5.992778291702271,5.992778,1.1565777
55,-6.025467,0.14949977,-6.025465869903565,6.025467,1.145012
56,-6.0325165,-0.14183047,-6.03251562833786,6.0325165,1.1335621
57,-6.084868,-0.8056797,-6.0848677587509155,6.084868,1.1222267
58,-6.1155367,-0.8056797,-6.115537021160126,6.1155367,1.1110044
59,-6.1033616,-0.8056797,-6.103360726833343,6.1033616,1.0998945
60,-6.176604,-0.8056797,-6.176603147983551,6.176604,1.0888954
61,-6.2187386,0.07093735,-6.218739321231842,6.2187386,1.0780066
62,-6.247469,0.7188721,-6.247469184398651,6.247469,1.0672265
63,-6.311333,0.7188721,-6.3113329982757564,6.311333,1.0565544
64,-6.32295,0.62182736,-6.32295095205307,6.32295,1.0459889
65,-6.358828,0.30591205,-6.358828048706055,6.358828,1.0355293
66,-6.4313164,0.39798686,-6.431316142082214,6.4313164,1.025174
67,-6.406109,0.44756526,-6.406108331680298,6.406109,1.0149223
68,-6.4574413,0.44756526,-6.457443881034851,6.4574413,1.0047733
69,-6.500466,0.44756526,-6.500464286804199,6.500466,0.99472564
70,-6.514993,0.77918106,-6.514994268417358,6.514993,0.98477846
71,-6.55101,2.9984531,-6.551008567810059,6.55101,0.9749308
72,-6.5524817,2.9984531,-6.552479662895203,6.5524817,0.9651815
73,-6.5736017,2.9984531,-6.573603205680847,6.5736017,0.9555298
74,-6.640711,3.3567045,-6.640709946155548,6.640711,0.9459746
75,-6.6467757,4.117996,-6.646775181293488,6.6467757,0.936515
76,-6.6557226,4.117996,-6.655723083019256,6.6557226,0.92714965
77,-6.6590548,4.117996,-6.659056234359741,6.6590548,0.91787827
78,-6.6943483,4.3545794,-6.694347312450409,6.6943483,0.90869963
79,-6.7601967,5.193372,-6.760197913646698,6.7601967,0.8996129
80,-6.789307,5.193372,-6.789307360649109,6.789307,0.8906168
81,-6.7933354,5.193372,-6.793337836265564,6.7933354,0.8817106
82,-6.850325,5.193372,-6.850323872566223,6.850325,0.8728936
83,-6.8556147,5.193372,-6.855613236427307,6.8556147,0.86416495
84,-6.876097,5.193372,-6.876098034381866,6.876097,0.85552317
85,-6.9463787,5.982453,-6.9463801765441895,6.9463787,0.846968
86,-6.976501,6.837271,-6.976500871181488,6.976501,0.83849853
87,-7.011915,6.837271,-7.011914994716644,7.011915,0.8301133
