epoch,L_loss,h_loss,loss,s_loss,t_loss
0,4.030075,-1.3399498,4.030074228048324,-4.030075,1.9900833
1,3.7193,-3.0855317,3.7192981815338135,-3.7193,1.9701874
2,3.3898842,-3.5913317,3.3898835015296935,-3.3898842,1.9504858
3,3.0396333,-7.2071686,3.0396340012550356,-3.0396333,1.9309812
4,2.6663458,-5.302504,2.6663451588153837,-2.6663458,1.9116713
5,2.2677195,-3.080771,2.2677201235294344,-2.2677195,1.8925549
6,1.845606,-2.8453507,1.845606319308281,-1.845606,1.8736295
7,1.4060338,-2.5487425,1.4060341054201126,-1.4060338,1.8548932
8,0.95536065,-2.6167364,0.9553605112433433,-0.95536065,1.8363426
9,0.49790424,-11.2123375,0.4979043330252171,-0.49790424,1.8179811
10,0.040798526,-13.201986,0.04079854033421725,-0.040798526,1.7998016
11,-0.42392418,-13.111841,-0.4239243088662624,0.42392418,1.7818037
12,-0.89533675,-13.954996,-0.8953368812799454,0.89533675,1.7639859
13,-1.3876543,-13.45917,-1.3876544612646102,1.3876543,1.7463461
14,-1.9092201,-12.469161,-1.9092192232608796,1.9092201,1.7288826
15,-2.4845636,-14.409899,-2.4845628547668457,2.4845636,1.7115946
16,-3.1153998,-15.160645,-3.115399090051651,3.1153998,1.6944785
17,-3.7870188,-13.778987,-3.787018724679947,3.7870188,1.6775333
18,-4.4666157,-13.837751,-4.466618061065674,4.4666157,1.6607584
19,-5.1342816,-13.739864,-5.134281575679779,5.1342816,1.6441509
20,-5.7758904,-1.5685418,-5.775891695022583,5.7758904,1.6277102
21,-6.387537,-1.5137639,-6.387537755966187,6.387537,1.6114328
22,-6.979451,-2.6738837,-6.97944997549057,6.979451,1.5953186
23,-7.5522547,-2.6738837,-7.552253177165985,7.5522547,1.5793655
24,-8.0867605,-2.6738837,-8.086765041351319,8.0867605,1.563572
25,-8.590324,-2.9160745,-8.590320611000061,8.590324,1.5479364
26,-9.060853,-4.4679,-9.06085141658783,9.060853,1.5324564
27,-9.509692,-4.4679,-9.509692897796631,9.509692,1.5171329
28,-9.918365,-2.86579,-9.918361644744873,9.918365,1.5019614
