epoch,L_loss,h_loss,loss,s_loss,t_loss
0,0.8747035,1.2895602,0.8747033843398094,-0.8747035,1.9900833
1,0.638125,2.434525,0.6381250259280205,-0.638125,1.9701874
2,0.3885926,2.8370135,0.38859259337186813,-0.3885926,1.9504858
3,0.123467356,2.4266963,0.12346739853848704,-0.123467356,1.9309812
4,-0.1566543,3.1323502,-0.15665430499706418,0.1566543,1.9116713
5,-0.45422456,2.562655,-0.45422459065914156,0.45422456,1.8925549
6,-0.7711978,2.2509174,-0.7711977976560592,0.7711978,1.8736295
7,-1.110122,2.8888578,-1.1101221853494645,1.110122,1.8548932
8,-1.4726704,2.13661,-1.472669968008995,1.4726704,1.8363426
9,-1.8618295,1.6138479,-1.8618288540840149,1.8618295,1.8179811
10,-2.2816849,-1.9350569,-2.2816847229003905,2.2816849,1.7998016
11,-2.73328,-1.3548568,-2.7332804024219515,2.73328,1.7818037
12,-3.2188196,-1.3438809,-3.2188187754154205,3.2188196,1.7639859
13,-3.7459745,0.29377306,-3.74597420334816,3.7459745,1.7463461
14,-4.3225155,-0.24709709,-4.322516856193542,4.3225155,1.7288826
15,-4.9663754,1.1130238,-4.966375305652618,4.9663754,1.7115946
16,-5.699984,1.9262819,-5.699984090328217,5.699984,1.6944785
17,-6.531509,1.1493194,-6.53151095867157,6.531509,1.6775333
18,-7.437027,1.5289923,-7.4370287942886355,7.437027,1.6607584
19,-8.361144,1.6110414,-8.361145524978637,8.361144,1.6441509
20,-9.251906,1.686548,-9.251903614997865,9.251906,1.6277102
21,-10.052566,5.4446173,-10.052566275596618,10.052566,1.6114328
22,-10.732187,2.0951858,-10.732186932563781,10.732187,1.5953186
23,-11.335749,2.3264365,-11.335752391815186,11.335749,1.5793655
24,-11.856816,3.1588697,-11.85681426525116,11.856816,1.563572
25,-12.315984,3.1588697,-12.315983171463012,12.315984,1.5479364
26,-12.758701,4.3171716,-12.758696932792663,12.758701,1.5324564
27,-13.150038,4.8845177,-13.150034174919128,13.150038,1.5171329
28,-13.532985,5.2212853,-13.532978739738464,13.532985,1.5019614
29,-13.875337,7.928377,-13.87533721446991,13.875337,1.4869419
30,-14.221938,7.928377,-14.221940021514893,14.221938,1.472073
